YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,1,25,3.7,3.84,0.66,303.4,71.5,-999.0,-999.0,-999.0,-999.0,2.44,11.35,7.51,9.43,11.8,7.74,15.63,7.89,6.35,79.0,0.07,101.99,3.29,3.98,225.25,4.82,6.23,225.44
1990,1,26,3.67,3.86,0.64,299.8,71.3,-999.0,-999.0,-999.0,-999.0,4.57,11.0,6.73,8.87,11.08,9.31,16.26,6.94,6.04,76.5,0.0,101.83,6.06,4.35,247.06,8.47,3.75,247.5
1990,1,27,3.63,4.06,0.63,293.2,69.9,-999.0,-999.0,-999.0,-999.0,4.66,10.69,6.5,8.6,10.92,9.68,16.34,6.66,5.98,76.75,0.0,101.7,6.12,2.91,238.88,8.3,2.37,239.31
1990,1,28,2.05,4.25,0.35,344.8,41.9,-999.0,-999.0,-999.0,-999.0,2.77,11.26,6.51,8.88,11.08,7.86,16.06,8.21,5.98,73.56,0.0,101.4,3.91,3.19,197.06,5.7,4.23,197.62
1990,1,29,0.66,4.28,0.11,336.9,14.6,-999.0,-999.0,-999.0,-999.0,4.52,10.97,6.63,8.8,11.08,6.33,15.11,8.78,6.1,75.25,2.13,100.85,5.94,5.35,228.69,8.13,5.51,229.31
1990,1,30,3.71,4.0,0.63,293.9,71.9,-999.0,-999.0,-999.0,-999.0,3.81,11.12,7.05,9.08,11.46,10.25,17.07,6.82,6.23,77.94,0.0,101.3,5.02,3.2,257.69,7.02,5.76,258.19
1990,1,31,3.43,4.4,0.58,336.3,67.1,-999.0,-999.0,-999.0,-999.0,1.71,11.58,6.43,9.01,11.45,8.3,15.82,7.52,5.98,72.25,0.0,101.5,2.51,3.98,237.62,3.48,6.0,241.25
1990,2,1,3.94,4.02,0.66,318.0,75.8,-999.0,-999.0,-999.0,-999.0,3.99,11.76,6.6,9.19,11.84,8.48,16.27,7.8,6.04,71.44,0.0,101.17,5.34,5.18,248.25,7.48,5.66,249.31
1990,2,2,3.94,3.95,0.66,299.4,75.8,-999.0,-999.0,-999.0,-999.0,1.97,11.8,7.08,9.44,11.68,10.86,17.11,6.26,6.23,74.88,0.03,101.55,2.62,2.89,206.94,3.64,4.7,221.75
1990,2,3,3.54,4.15,0.58,302.7,69.5,-999.0,-999.0,-999.0,-999.0,1.33,12.24,7.73,9.98,12.01,8.59,16.7,8.1,6.47,76.12,0.01,102.12,1.83,2.19,227.31,2.38,3.53,228.31
