YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,3,1,4.71,4.7,0.62,319.3,91.0,-999.0,-999.0,-999.0,-999.0,4.05
1990,3,2,4.68,4.7,0.61,325.2,90.2,-999.0,-999.0,-999.0,-999.0,2.63
1990,3,3,3.84,5.38,0.5,366.8,77.0,-999.0,-999.0,-999.0,-999.0,6.43
1990,3,4,1.59,5.4,0.2,375.7,34.5,-999.0,-999.0,-999.0,-999.0,6.51
1990,3,5,3.68,5.45,0.47,374.0,74.8,-999.0,-999.0,-999.0,-999.0,4.39
1990,3,6,4.4,4.62,0.56,344.0,86.3,-999.0,-999.0,-999.0,-999.0,1.91
1990,3,7,5.16,5.88,0.65,320.1,99.0,-999.0,-999.0,-999.0,-999.0,2.17
1990,3,8,4.6,5.18,0.58,334.1,91.1,-999.0,-999.0,-999.0,-999.0,2.34
1990,3,9,4.18,5.6,0.52,356.4,83.7,-999.0,-999.0,-999.0,-999.0,2.88
1990,3,10,5.05,5.92,0.62,332.9,99.4,-999.0,-999.0,-999.0,-999.0,3.29
1990,3,11,4.88,4.64,0.59,312.5,95.0,-999.0,-999.0,-999.0,-999.0,1.89
1990,3,12,4.87,5.16,0.59,348.8,95.2,-999.0,-999.0,-999.0,-999.0,3.32
1990,3,13,4.68,4.56,0.56,354.0,93.3,-999.0,-999.0,-999.0,-999.0,3.16
1990,3,14,4.77,4.8,0.57,343.1,93.4,-999.0,-999.0,-999.0,-999.0,2.27
1990,3,15,4.67,5.88,0.55,354.2,94.3,-999.0,-999.0,-999.0,-999.0,1.77
1990,3,16,4.33,5.67,0.51,349.0,87.8,-999.0,-999.0,-999.0,-999.0,2.7
1990,3,17,3.88,5.48,0.45,348.3,80.0,-999.0,-999.0,-999.0,-999.0,4.21
1990,3,18,5.1,5.42,0.59,332.9,101.8,-999.0,-999.0,-999.0,-999.0,3.95
1990,3,19,5.09,5.55,0.59,320.1,101.2,-999.0,-999.0,-999.0,-999.0,2.32
1990,3,20,3.02,5.91,0.34,355.8,62.4,-999.0,-999.0,-999.0,-999.0,1.76
1990,3,21,5.94,6.46,0.68,332.9,117.9,-999.0,-999.0,-999.0,-999.0,3.03
1990,3,22,6.01,6.06,0.68,300.3,113.2,-999.0,-999.0,-999.0,-999.0,1.34
1990,3,23,5.7,5.75,0.64,331.3,110.8,-999.0,-999.0,-999.0,-999.0,3.38
1990,3,24,5.48,5.77,0.61,360.4,107.1,-999.0,-999.0,-999.0,-999.0,3.37
1990,3,25,4.31,6.3,0.48,362.9,86.9,-999.0,-999.0,-999.0,-999.0,1.55
1990,3,26,5.19,6.23,0.57,339.2,103.0,-999.0,-999.0,-999.0,-999.0,3.86
1990,3,27,5.26,5.73,0.58,323.1,101.0,-999.0,-999.0,-999.0,-999.0,3.01
1990,3,28,5.04,5.12,0.55,321.4,97.5,-999.0,-999.0,-999.0,-999.0,2.55
1990,3,29,6.05,6.2,0.66,326.5,118.1,-999.0,-999.0,-999.0,-999.0,3.25
1990,3,30,3.97,6.58,0.43,359.6,81.0,-999.0,-999.0,-999.0,-999.0,4.59
1990,3,31,3.37,6.63,0.36,363.2,69.9,-999.0,-999.0,-999.0,-999.0,5.59
1990,4,1,6.13,6.67,0.66,362.7,121.1,-999.0,-999.0,-999.0,-999.0,4.6
1990,4,2,4.6,6.55,0.48,355.7,92.9,-999.0,-999.0,-999.0,-999.0,2.94
1990,4,3,6.56,6.68,0.7,341.0,128.3,-999.0,-999.0,-999.0,-999.0,1.29
1990,4,4,6.43,6.4,0.67,321.0,122.6,-999.0,-999.0,-999.0,-999.0,2.84
1990,4,5,6.17,6.08,0.64,351.2,119.7,-999.0,-999.0,-999.0,-999.0,3.67
1990,4,6,5.74,6.1,0.59,379.6,111.5,-999.0,-999.0,-999.0,-999.0,3.65
1990,4,7,4.83,6.93,0.5,380.6,97.8,-999.0,-999.0,-999.0,-999.0,2.98
1990,4,8,4.76,6.38,0.49,380.7,94.5,-999.0,-999.0,-999.0,-999.0,1.7
1990,4,9,6.14,6.22,0.62,375.4,121.6,-999.0,-999.0,-999.0,-999.0,5.39
1990,4,10,6.72,7.05,0.68,342.0,128.7,-999.0,-999.0,-999.0,-999.0,4.77
1990,4,11,6.02,6.28,0.61,356.6,117.4,-999.0,-999.0,-999.0,-999.0,2.52
1990,4,12,6.54,6.47,0.66,358.0,127.2,-999.0,-999.0,-999.0,-999.0,3.81
1990,4,13,6.78,6.84,0.68,329.5,130.3,-999.0,-999.0,-999.0,-999.0,2.73
1990,4,14,6.57,6.67,0.66,335.4,127.5,-999.0,-999.0,-999.0,-999.0,2.84
1990,4,15,6.96,6.96,0.69,330.4,135.1,-999.0,-999.0,-999.0,-999.0,2.62
1990,4,16,6.65,6.65,0.66,336.8,131.3,-999.0,-999.0,-999.0,-999.0,2.59
1990,4,17,6.71,6.71,0.66,323.7,129.8,-999.0,-999.0,-999.0,-999.0,2.82
1990,4,18,6.42,6.54,0.63,351.4,126.8,-999.0,-999.0,-999.0,-999.0,2.3
1990,4,19,4.27,6.97,0.41,365.3,87.5,-999.0,-999.0,-999.0,-999.0,2.3
1990,4,20,6.63,6.67,0.65,353.7,129.4,-999.0,-999.0,-999.0,-999.0,4.34
1990,4,21,6.75,6.77,0.66,386.6,129.3,-999.0,-999.0,-999.0,-999.0,3.35
1990,4,22,6.48,6.74,0.62,390.5,128.6,-999.0,-999.0,-999.0,-999.0,2.51
1990,4,23,4.77,7.39,0.46,384.6,98.8,-999.0,-999.0,-999.0,-999.0,4.41
1990,4,24,3.41,7.26,0.33,376.4,71.3,-999.0,-999.0,-999.0,-999.0,4.38
1990,4,25,5.54,7.5,0.53,391.2,113.5,-999.0,-999.0,-999.0,-999.0,5.17
1990,4,26,4.63,7.53,0.44,364.0,95.6,-999.0,-999.0,-999.0,-999.0,5.28
1990,4,27,6.94,7.14,0.66,377.5,138.3,-999.0,-999.0,-999.0,-999.0,3.02
1990,4,28,2.62,7.45,0.25,368.2,57.5,-999.0,-999.0,-999.0,-999.0,3.02
1990,4,29,5.08,7.46,0.48,387.0,105.4,-999.0,-999.0,-999.0,-999.0,3.83
1990,4,30,1.74,7.5,0.16,390.2,39.1,-999.0,-999.0,-999.0,-999.0,5.77
1990,5,1,1.14,7.23,0.11,393.6,26.5,-999.0,-999.0,-999.0,-999.0,7.88
1990,5,2,0.88,7.23,0.08,389.5,21.3,-999.0,-999.0,-999.0,-999.0,7.33
1990,5,3,2.87,7.23,0.27,393.1,62.3,-999.0,-999.0,-999.0,-999.0,5.59
1990,5,4,4.64,7.44,0.43,376.8,96.9,-999.0,-999.0,-999.0,-999.0,4.1
1990,5,5,5.07,6.73,0.47,375.8,106.1,-999.0,-999.0,-999.0,-999.0,3.98
1990,5,6,5.46,7.03,0.5,393.7,112.7,-999.0,-999.0,-999.0,-999.0,3.85
1990,5,7,3.8,7.02,0.35,397.5,81.0,-999.0,-999.0,-999.0,-999.0,4.0
1990,5,8,6.61,7.21,0.61,372.8,132.0,-999.0,-999.0,-999.0,-999.0,3.11
1990,5,9,7.11,7.11,0.65,355.8,140.7,-999.0,-999.0,-999.0,-999.0,2.92
1990,5,10,7.05,7.14,0.64,370.9,139.8,-999.0,-999.0,-999.0,-999.0,4.15
1990,5,11,2.35,7.31,0.21,392.6,51.3,-999.0,-999.0,-999.0,-999.0,3.33
1990,5,12,5.15,6.44,0.47,391.6,103.9,-999.0,-999.0,-999.0,-999.0,3.3
1990,5,13,5.59,6.56,0.51,382.7,111.4,-999.0,-999.0,-999.0,-999.0,3.35
1990,5,14,6.9,6.9,0.62,381.8,136.6,-999.0,-999.0,-999.0,-999.0,1.7
1990,5,15,7.3,7.3,0.66,371.3,144.3,-999.0,-999.0,-999.0,-999.0,3.21
1990,5,16,5.38,6.67,0.48,394.0,107.5,-999.0,-999.0,-999.0,-999.0,2.27
1990,5,17,7.38,7.38,0.66,378.2,146.6,-999.0,-999.0,-999.0,-999.0,2.51
1990,5,18,7.26,7.28,0.65,385.0,143.5,-999.0,-999.0,-999.0,-999.0,2.27
1990,5,19,7.15,7.1,0.64,390.2,141.8,-999.0,-999.0,-999.0,-999.0,2.43
1990,5,20,5.47,6.9,0.49,402.2,110.5,-999.0,-999.0,-999.0,-999.0,2.96
1990,5,21,7.12,7.12,0.63,409.6,140.3,-999.0,-999.0,-999.0,-999.0,3.62
1990,5,22,6.65,6.66,0.59,421.0,130.9,-999.0,-999.0,-999.0,-999.0,4.03
1990,5,23,4.85,6.35,0.43,455.8,100.9,-999.0,-999.0,-999.0,-999.0,2.25
1990,5,24,6.62,6.62,0.59,409.1,129.7,-999.0,-999.0,-999.0,-999.0,5.93
1990,5,25,7.27,7.08,0.64,406.3,144.5,-999.0,-999.0,-999.0,-999.0,4.46
1990,5,26,7.12,7.15,0.63,390.7,141.1,-999.0,-999.0,-999.0,-999.0,2.9
1990,5,27,6.35,6.55,0.56,399.3,125.8,-999.0,-999.0,-999.0,-999.0,2.97
