"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""APR-2013"",127,9.5,36.5,394.89"
"""MAY-2013"",128,9.5,36.5,394.863"
"""JUN-2013"",129,9.5,36.5,396.434"
"""JUL-2013"",130,9.5,36.5,395.426"
"""AUG-2013"",131,9.5,36.5,394.323"
"""SEP-2013"",132,9.5,36.5,393.753"
"""OCT-2013"",133,9.5,36.5,394.532"
"""NOV-2013"",134,9.5,36.5,394.902"
"""DEC-2013"",135,9.5,36.5,394.488"
"""JAN-2014"",136,9.5,36.5,396.01"
"""FEB-2014"",137,9.5,36.5,396.146"
"""MAR-2014"",138,9.5,36.5,395.051"
"""APR-2014"",139,9.5,36.5,397.222"
"""MAY-2014"",140,9.5,36.5,397.567"
"""JUN-2014"",141,9.5,36.5,396.429"
"""JUL-2014"",142,9.5,36.5,397.001"
"""AUG-2014"",143,9.5,36.5,395.717"
"""SEP-2014"",144,9.5,36.5,395.631"
"""OCT-2014"",145,9.5,36.5,395.731"
"""NOV-2014"",146,9.5,36.5,395.61"
"""DEC-2014"",147,9.5,36.5,397.135"
"""JAN-2015"",148,9.5,36.5,397.341"
"""FEB-2015"",149,9.5,36.5,397.88"
"""MAR-2015"",150,9.5,36.5,398.552"
"""APR-2015"",151,9.5,36.5,399.633"
"""MAY-2015"",152,9.5,36.5,399.682"
"""JUN-2015"",153,9.5,36.5,400.039"
"""JUL-2015"",154,9.5,36.5,399.65"
"""AUG-2015"",155,9.5,36.5,398.734"
"""SEP-2015"",156,9.5,36.5,398.233"
"""OCT-2015"",157,9.5,36.5,398.21"
"""NOV-2015"",158,9.5,36.5,398.85"
"""DEC-2015"",159,9.5,36.5,399.836"
"""JAN-2016"",160,9.5,36.5,399.502"
"""FEB-2016"",161,9.5,36.5,399.838"
"""MAR-2016"",162,9.5,36.5,401.611"
"""APR-2016"",163,9.5,36.5,401.131"
"""MAY-2016"",164,9.5,36.5,402.21"
"""JUN-2016"",165,9.5,36.5,402.559"
"""JUL-2016"",166,9.5,36.5,402.364"
"""AUG-2016"",167,9.5,36.5,401.781"
"""SEP-2016"",168,9.5,36.5,400.359"
"""OCT-2016"",169,9.5,36.5,401.166"
"""NOV-2016"",170,9.5,36.5,400.916"
"""DEC-2016"",171,9.5,36.5,401.39"
"""JAN-2017"",172,9.5,36.5,402.168"
"""FEB-2017"",173,9.5,36.5,402.285"
"""MAR-2017"",174,9.5,36.5,403.796"
"""APR-2017"",175,9.5,36.5,404.412"
"""MAY-2017"",176,9.5,36.5,404.554"
"""JUN-2017"",177,9.5,36.5,404.587"
"""JUL-2017"",178,9.5,36.5,404.56"
"""AUG-2017"",179,9.5,36.5,403.646"
"""SEP-2017"",180,9.5,36.5,402.274"
"""OCT-2017"",181,9.5,36.5,403.799"
"""NOV-2017"",182,9.5,36.5,403.25"
"""DEC-2017"",183,9.5,36.5,403.896"
"""JAN-2018"",184,9.5,36.5,403.927"
"""FEB-2018"",185,9.5,36.5,404.551"
"""MAR-2018"",186,9.5,36.5,404.234"
"""APR-2018"",187,9.5,36.5,405.686"
"""MAY-2018"",188,9.5,36.5,405.457"
"""JUN-2018"",189,9.5,36.5,406.826"
"""JUL-2018"",190,9.5,36.5,405.992"
"""AUG-2018"",191,9.5,36.5,405.026"
"""SEP-2018"",192,9.5,36.5,404.279"
"""OCT-2018"",193,9.5,36.5,405.174"
"""NOV-2018"",194,9.5,36.5,405.77"
"""DEC-2018"",195,9.5,36.5,406.648"
"""JAN-2019"",196,9.5,36.5,406.665"
"""FEB-2019"",197,9.5,36.5,407.889"
"""MAR-2019"",198,9.5,36.5,408.439"
"""APR-2019"",199,9.5,36.5,408.098"
"""MAY-2019"",200,9.5,36.5,408.17"
"""JUN-2019"",201,9.5,36.5,409.531"
"""JUL-2019"",202,9.5,36.5,408.812"
"""AUG-2019"",203,9.5,36.5,407.703"
"""SEP-2019"",204,9.5,36.5,407.584"
"""OCT-2019"",205,9.5,36.5,407.792"
"""NOV-2019"",206,9.5,36.5,406.868"
"""DEC-2019"",207,9.5,36.5,409.109"
"""JAN-2020"",208,9.5,36.5,409.602"
"""FEB-2020"",209,9.5,36.5,409.583"
"""MAR-2020"",210,9.5,36.5,410.09"
"""APR-2020"",211,9.5,36.5,409.724"
"""MAY-2020"",212,9.5,36.5,410.061"
"""JUN-2020"",213,9.5,36.5,411.036"
"""JUL-2020"",214,9.5,36.5,410.469"
"""AUG-2020"",215,9.5,36.5,409.237"
"""SEP-2020"",216,9.5,36.5,408.413"
"""OCT-2020"",217,9.5,36.5,409.574"
"""NOV-2020"",218,9.5,36.5,410.763"
"""DEC-2020"",219,9.5,36.5,410.694"
"""JAN-2021"",220,9.5,36.5,410.518"
"""FEB-2021"",221,9.5,36.5,411.384"
"""MAR-2021"",222,9.5,36.5,412.278"
"""APR-2021"",223,9.5,36.5,411.96"
"""MAY-2021"",224,9.5,36.5,412.349"
"""JUN-2021"",225,9.5,36.5,411.645"
"""JUL-2021"",226,9.5,36.5,412.656"
"""AUG-2021"",227,9.5,36.5,411.8"
"""SEP-2021"",228,9.5,36.5,410.818"
"""OCT-2021"",229,9.5,36.5,410.8"
"""NOV-2021"",230,9.5,36.5,412.212"
"""DEC-2021"",231,9.5,36.5,411.997"
