"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""DEC-2014"",16405,9.5,36.5,386.592"
"""JAN-2015"",16436,9.5,36.5,404.833"
"""FEB-2015"",16467,9.5,36.5,439.139"
"""MAR-2015"",16495,9.5,36.5,446.257"
"""APR-2015"",16526,9.5,36.5,421.338"
"""MAY-2015"",16556,9.5,36.5,410.875"
"""JUN-2015"",16587,9.5,36.5,412.744"
"""JUL-2015"",16617,9.5,36.5,384.607"
"""AUG-2015"",16648,9.5,36.5,382.096"
"""SEP-2015"",16679,9.5,36.5,369.882"
"""OCT-2015"",16709,9.5,36.5,356.539"
"""NOV-2015"",16740,9.5,36.5,351.426"
"""DEC-2015"",16770,9.5,36.5,353.937"
"""JAN-2016"",16801,9.5,36.5,382.222"
"""FEB-2016"",16832,9.5,36.5,389.181"
"""MAR-2016"",16861,9.5,36.5,439.355"
"""APR-2016"",16892,9.5,36.5,406.896"
"""MAY-2016"",16922,9.5,36.5,417.929"
"""JUN-2016"",16953,9.5,36.5,402.437"
"""JUL-2016"",16983,9.5,36.5,375.833"
"""AUG-2016"",17014,9.5,36.5,378.266"
"""SEP-2016"",17045,9.5,36.5,369.773"
"""OCT-2016"",17075,9.5,36.5,335.798"
"""NOV-2016"",17106,9.5,36.5,356.354"
"""DEC-2016"",17136,9.5,36.5,374.333"
"""JAN-2017"",17167,9.5,36.5,407.292"
"""FEB-2017"",17198,9.5,36.5,424.348"
"""MAR-2017"",17226,9.5,36.5,399.07"
"""APR-2017"",17257,9.5,36.5,448.913"
"""MAY-2017"",17287,9.5,36.5,408.684"
"""JUN-2017"",17318,9.5,36.5,402.452"
"""JUL-2017"",17348,9.5,36.5,381.487"
"""AUG-2017"",17379,9.5,36.5,368.283"
"""SEP-2017"",17410,9.5,36.5,365.967"
"""OCT-2017"",17440,9.5,36.5,357.566"
"""NOV-2017"",17471,9.5,36.5,375.799"
"""DEC-2017"",17501,9.5,36.5,385.7"
"""JAN-2018"",17532,9.5,36.5,395.398"
"""FEB-2018"",17563,9.5,36.5,442.117"
"""MAR-2018"",17591,9.5,36.5,452.201"
"""APR-2018"",17622,9.5,36.5,429.562"
"""MAY-2018"",17652,9.5,36.5,419.784"
"""JUN-2018"",17683,9.5,36.5,408.107"
"""JUL-2018"",17713,9.5,36.5,376.402"
"""AUG-2018"",17744,9.5,36.5,383.381"
