YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,3,1,4.0,4.03,0.54,318.0,79.0,-999.0,-999.0,-999.0,-999.0,2.84
1990,3,2,4.17,4.25,0.55,323.9,81.0,-999.0,-999.0,-999.0,-999.0,2.37
1990,3,3,3.39,5.4,0.45,338.4,69.0,-999.0,-999.0,-999.0,-999.0,6.99
1990,3,4,2.19,4.95,0.29,358.5,47.2,-999.0,-999.0,-999.0,-999.0,6.94
1990,3,5,3.19,4.99,0.41,355.6,65.1,-999.0,-999.0,-999.0,-999.0,3.66
1990,3,6,4.3,4.96,0.55,320.4,85.7,-999.0,-999.0,-999.0,-999.0,1.22
1990,3,7,4.38,4.42,0.56,289.0,84.9,-999.0,-999.0,-999.0,-999.0,1.48
1990,3,8,4.21,5.42,0.53,319.1,83.5,-999.0,-999.0,-999.0,-999.0,2.08
1990,3,9,3.56,5.68,0.45,343.5,71.8,-999.0,-999.0,-999.0,-999.0,2.49
1990,3,10,4.42,4.45,0.55,325.6,86.2,-999.0,-999.0,-999.0,-999.0,3.56
1990,3,11,4.53,4.45,0.56,316.0,88.9,-999.0,-999.0,-999.0,-999.0,1.75
1990,3,12,3.81,5.24,0.47,343.6,75.2,-999.0,-999.0,-999.0,-999.0,2.71
1990,3,13,4.57,5.23,0.55,339.0,91.7,-999.0,-999.0,-999.0,-999.0,2.83
1990,3,14,4.33,4.6,0.52,336.5,87.8,-999.0,-999.0,-999.0,-999.0,1.35
1990,3,15,2.35,5.94,0.28,337.3,49.7,-999.0,-999.0,-999.0,-999.0,1.64
1990,3,16,3.25,5.99,0.39,356.5,67.3,-999.0,-999.0,-999.0,-999.0,2.46
1990,3,17,3.72,5.88,0.44,337.4,75.7,-999.0,-999.0,-999.0,-999.0,4.14
1990,3,18,3.26,4.66,0.38,328.9,67.5,-999.0,-999.0,-999.0,-999.0,3.45
1990,3,19,5.45,5.57,0.63,292.9,106.0,-999.0,-999.0,-999.0,-999.0,1.79
1990,3,20,4.04,5.38,0.47,333.5,81.0,-999.0,-999.0,-999.0,-999.0,2.5
1990,3,21,5.54,5.54,0.64,280.4,104.6,-999.0,-999.0,-999.0,-999.0,2.68
1990,3,22,5.23,5.19,0.6,285.0,99.1,-999.0,-999.0,-999.0,-999.0,2.12
1990,3,23,5.28,5.36,0.6,302.5,99.4,-999.0,-999.0,-999.0,-999.0,2.35
1990,3,24,5.13,6.3,0.58,332.4,101.2,-999.0,-999.0,-999.0,-999.0,2.88
1990,3,25,4.4,4.89,0.49,349.1,88.1,-999.0,-999.0,-999.0,-999.0,1.5
1990,3,26,4.37,5.37,0.48,355.1,89.2,-999.0,-999.0,-999.0,-999.0,2.27
1990,3,27,5.02,5.05,0.55,319.5,99.2,-999.0,-999.0,-999.0,-999.0,2.46
1990,3,28,5.29,5.31,0.59,286.5,101.6,-999.0,-999.0,-999.0,-999.0,2.01
1990,3,29,5.29,5.44,0.58,301.7,100.6,-999.0,-999.0,-999.0,-999.0,2.32
1990,3,30,4.57,6.72,0.5,347.0,93.1,-999.0,-999.0,-999.0,-999.0,3.58
1990,3,31,3.72,6.76,0.4,351.5,77.2,-999.0,-999.0,-999.0,-999.0,5.12
1990,4,1,3.52,6.81,0.38,358.8,73.4,-999.0,-999.0,-999.0,-999.0,3.99
1990,4,2,5.45,5.94,0.59,334.0,109.9,-999.0,-999.0,-999.0,-999.0,2.2
1990,4,3,5.97,5.87,0.63,310.7,116.4,-999.0,-999.0,-999.0,-999.0,2.45
1990,4,4,5.87,5.86,0.62,301.8,111.6,-999.0,-999.0,-999.0,-999.0,2.72
1990,4,5,5.87,6.94,0.62,342.1,115.3,-999.0,-999.0,-999.0,-999.0,2.66
1990,4,6,5.68,5.67,0.59,329.3,108.8,-999.0,-999.0,-999.0,-999.0,3.4
1990,4,7,3.5,7.09,0.37,355.0,72.5,-999.0,-999.0,-999.0,-999.0,2.23
1990,4,8,5.07,6.63,0.52,372.1,102.0,-999.0,-999.0,-999.0,-999.0,3.35
1990,4,9,6.09,6.84,0.62,339.0,120.1,-999.0,-999.0,-999.0,-999.0,5.33
1990,4,10,6.0,6.12,0.62,329.5,117.9,-999.0,-999.0,-999.0,-999.0,3.63
1990,4,11,4.6,6.65,0.47,338.8,93.9,-999.0,-999.0,-999.0,-999.0,3.11
1990,4,12,5.9,5.72,0.6,336.0,116.7,-999.0,-999.0,-999.0,-999.0,3.93
1990,4,13,6.2,6.08,0.62,313.4,119.5,-999.0,-999.0,-999.0,-999.0,1.91
1990,4,14,6.02,5.95,0.6,312.9,116.7,-999.0,-999.0,-999.0,-999.0,1.87
1990,4,15,6.27,6.3,0.62,318.0,121.4,-999.0,-999.0,-999.0,-999.0,2.11
1990,4,16,6.23,6.14,0.62,315.2,119.7,-999.0,-999.0,-999.0,-999.0,3.33
1990,4,17,6.79,6.89,0.67,314.5,131.0,-999.0,-999.0,-999.0,-999.0,1.73
1990,4,18,5.64,7.48,0.55,342.7,112.5,-999.0,-999.0,-999.0,-999.0,1.62
1990,4,19,5.11,6.89,0.5,354.4,103.5,-999.0,-999.0,-999.0,-999.0,1.67
1990,4,20,6.48,6.5,0.63,324.4,123.0,-999.0,-999.0,-999.0,-999.0,3.62
1990,4,21,6.43,7.5,0.62,365.4,127.6,-999.0,-999.0,-999.0,-999.0,2.05
1990,4,22,6.61,6.93,0.64,374.2,129.6,-999.0,-999.0,-999.0,-999.0,3.75
1990,4,23,3.26,7.53,0.31,366.5,68.8,-999.0,-999.0,-999.0,-999.0,3.12
1990,4,24,4.35,7.48,0.42,375.9,89.6,-999.0,-999.0,-999.0,-999.0,3.41
1990,4,25,5.69,7.7,0.55,379.9,116.0,-999.0,-999.0,-999.0,-999.0,5.06
1990,4,26,5.5,7.74,0.52,355.2,112.4,-999.0,-999.0,-999.0,-999.0,3.8
1990,4,27,5.94,7.36,0.56,378.6,120.8,-999.0,-999.0,-999.0,-999.0,2.53
1990,4,28,4.7,7.63,0.45,382.5,97.7,-999.0,-999.0,-999.0,-999.0,2.52
1990,4,29,5.03,7.06,0.48,395.9,104.4,-999.0,-999.0,-999.0,-999.0,3.38
1990,4,30,3.99,7.68,0.38,363.5,84.1,-999.0,-999.0,-999.0,-999.0,5.45
1990,5,1,1.68,7.41,0.16,370.1,38.4,-999.0,-999.0,-999.0,-999.0,7.27
1990,5,2,3.49,7.46,0.33,376.5,75.6,-999.0,-999.0,-999.0,-999.0,7.17
1990,5,3,5.0,6.89,0.47,353.8,103.9,-999.0,-999.0,-999.0,-999.0,5.0
1990,5,4,6.25,6.27,0.58,340.6,124.5,-999.0,-999.0,-999.0,-999.0,2.78
1990,5,5,6.09,6.24,0.56,339.3,121.7,-999.0,-999.0,-999.0,-999.0,2.84
1990,5,6,5.95,6.54,0.55,361.9,120.2,-999.0,-999.0,-999.0,-999.0,2.81
1990,5,7,5.22,6.2,0.48,379.8,108.6,-999.0,-999.0,-999.0,-999.0,2.82
1990,5,8,6.27,6.8,0.58,360.5,127.1,-999.0,-999.0,-999.0,-999.0,1.61
1990,5,9,6.15,6.2,0.56,362.1,124.3,-999.0,-999.0,-999.0,-999.0,1.8
1990,5,10,5.78,6.5,0.53,356.6,115.5,-999.0,-999.0,-999.0,-999.0,3.38
1990,5,11,1.46,7.43,0.13,379.8,34.0,-999.0,-999.0,-999.0,-999.0,3.88
1990,5,12,5.67,7.03,0.52,395.0,117.3,-999.0,-999.0,-999.0,-999.0,2.8
1990,5,13,5.83,6.92,0.53,388.4,120.8,-999.0,-999.0,-999.0,-999.0,2.41
1990,5,14,7.11,7.01,0.64,379.9,140.8,-999.0,-999.0,-999.0,-999.0,2.21
1990,5,15,6.45,6.45,0.58,381.7,128.0,-999.0,-999.0,-999.0,-999.0,3.0
1990,5,16,4.71,7.81,0.42,408.4,100.1,-999.0,-999.0,-999.0,-999.0,1.5
1990,5,17,6.66,6.74,0.6,383.4,132.3,-999.0,-999.0,-999.0,-999.0,1.64
1990,5,18,6.25,6.74,0.56,388.7,124.8,-999.0,-999.0,-999.0,-999.0,2.23
1990,5,19,6.72,6.87,0.6,407.6,133.4,-999.0,-999.0,-999.0,-999.0,2.23
1990,5,20,6.3,6.91,0.56,405.1,127.6,-999.0,-999.0,-999.0,-999.0,2.96
1990,5,21,7.07,6.95,0.63,414.2,143.7,-999.0,-999.0,-999.0,-999.0,3.92
1990,5,22,6.54,6.46,0.59,416.4,131.0,-999.0,-999.0,-999.0,-999.0,5.1
1990,5,23,6.51,6.35,0.58,414.1,130.4,-999.0,-999.0,-999.0,-999.0,4.2
1990,5,24,6.57,6.46,0.59,394.9,131.5,-999.0,-999.0,-999.0,-999.0,5.22
1990,5,25,6.35,6.32,0.56,408.6,126.4,-999.0,-999.0,-999.0,-999.0,3.48
1990,5,26,6.69,6.81,0.59,381.8,134.4,-999.0,-999.0,-999.0,-999.0,1.98
1990,5,27,5.47,6.61,0.48,384.4,114.3,-999.0,-999.0,-999.0,-999.0,1.97
1990,5,28,1.53,7.7,0.13,384.3,35.7,-999.0,-999.0,-999.0,-999.0,2.27
1990,5,29,1.58,7.71,0.14,382.1,36.2,-999.0,-999.0,-999.0,-999.0,4.88
1990,5,30,6.97,7.17,0.61,385.4,141.5,-999.0,-999.0,-999.0,-999.0,2.95
1990,5,31,6.54,6.63,0.58,383.6,134.4,-999.0,-999.0,-999.0,-999.0,2.12
1990,6,1,6.85,6.81,0.6,380.3,139.1,-999.0,-999.0,-999.0,-999.0,2.32
1990,6,2,7.0,6.96,0.61,374.3,140.4,-999.0,-999.0,-999.0,-999.0,2.73
1990,6,3,6.88,6.73,0.6,387.5,138.3,-999.0,-999.0,-999.0,-999.0,2.2
1990,6,4,6.63,6.66,0.58,416.9,135.6,-999.0,-999.0,-999.0,-999.0,4.05
1990,6,5,6.42,6.51,0.56,419.0,132.4,-999.0,-999.0,-999.0,-999.0,3.34
1990,6,6,6.47,7.67,0.56,429.5,134.3,-999.0,-999.0,-999.0,-999.0,2.62
1990,6,7,6.42,8.09,0.56,427.0,133.9,-999.0,-999.0,-999.0,-999.0,2.74
1990,6,8,7.23,7.24,0.63,393.7,147.8,-999.0,-999.0,-999.0,-999.0,2.32
1990,6,9,6.95,6.9,0.6,394.4,140.5,-999.0,-999.0,-999.0,-999.0,2.18
1990,6,10,7.2,7.17,0.62,386.1,144.4,-999.0,-999.0,-999.0,-999.0,1.65
1990,6,11,6.8,6.78,0.59,411.0,137.1,-999.0,-999.0,-999.0,-999.0,3.52
1990,6,12,6.7,6.82,0.59,424.2,135.5,-999.0,-999.0,-999.0,-999.0,2.84
1990,6,13,6.99,7.03,0.61,395.1,139.9,-999.0,-999.0,-999.0,-999.0,4.64
1990,6,14,6.93,6.81,0.6,370.6,138.7,-999.0,-999.0,-999.0,-999.0,3.44
1990,6,15,6.18,6.56,0.54,414.5,127.4,-999.0,-999.0,-999.0,-999.0,4.11
1990,6,16,6.68,7.01,0.58,420.9,137.3,-999.0,-999.0,-999.0,-999.0,4.42
1990,6,17,6.41,6.6,0.55,404.5,130.6,-999.0,-999.0,-999.0,-999.0,4.37
1990,6,18,5.84,6.67,0.51,419.9,121.2,-999.0,-999.0,-999.0,-999.0,3.57
1990,6,19,6.31,6.83,0.55,437.1,130.0,-999.0,-999.0,-999.0,-999.0,2.45
1990,6,20,5.55,6.54,0.48,440.4,116.3,-999.0,-999.0,-999.0,-999.0,1.93
1990,6,21,6.34,6.39,0.55,435.2,129.0,-999.0,-999.0,-999.0,-999.0,4.73
1990,6,22,6.67,6.66,0.58,391.7,134.4,-999.0,-999.0,-999.0,-999.0,5.19
1990,6,23,6.82,6.78,0.59,372.5,135.2,-999.0,-999.0,-999.0,-999.0,4.62
1990,6,24,7.02,7.0,0.61,374.5,140.0,-999.0,-999.0,-999.0,-999.0,3.47
1990,6,25,6.51,6.45,0.56,381.6,131.1,-999.0,-999.0,-999.0,-999.0,2.55
1990,6,26,6.99,6.96,0.61,379.4,138.6,-999.0,-999.0,-999.0,-999.0,2.46
1990,6,27,7.58,7.53,0.66,394.4,153.6,-999.0,-999.0,-999.0,-999.0,2.05
1990,6,28,6.75,6.66,0.59,385.8,136.0,-999.0,-999.0,-999.0,-999.0,2.83
