"DATETIME,TIME,LON,LAT,CO2_PPMV_UPPERTROP"
"""MAR-2013"",126,8.5,34.5,395.003"
"""APR-2013"",127,8.5,34.5,396.498"
"""MAY-2013"",128,8.5,34.5,395.524"
"""JUN-2013"",129,8.5,34.5,396.638"
"""JUL-2013"",130,8.5,34.5,396.013"
"""AUG-2013"",131,8.5,34.5,394.562"
"""SEP-2013"",132,8.5,34.5,394.514"
"""OCT-2013"",133,8.5,34.5,394.474"
"""NOV-2013"",134,8.5,34.5,394.684"
"""DEC-2013"",135,8.5,34.5,395.184"
"""JAN-2014"",136,8.5,34.5,396.276"
"""FEB-2014"",137,8.5,34.5,396.427"
"""MAR-2014"",138,8.5,34.5,397.126"
"""APR-2014"",139,8.5,34.5,398.07"
"""MAY-2014"",140,8.5,34.5,397.643"
"""JUN-2014"",141,8.5,34.5,397.63"
"""JUL-2014"",142,8.5,34.5,397.865"
"""AUG-2014"",143,8.5,34.5,396.457"
"""SEP-2014"",144,8.5,34.5,396.124"
"""OCT-2014"",145,8.5,34.5,396.206"
"""NOV-2014"",146,8.5,34.5,395.717"
"""DEC-2014"",147,8.5,34.5,396.952"
"""JAN-2015"",148,8.5,34.5,398.139"
"""FEB-2015"",149,8.5,34.5,398.876"
"""MAR-2015"",150,8.5,34.5,398.861"
"""APR-2015"",151,8.5,34.5,400.626"
"""MAY-2015"",152,8.5,34.5,400.339"
"""JUN-2015"",153,8.5,34.5,400.623"
"""JUL-2015"",154,8.5,34.5,399.981"
"""AUG-2015"",155,8.5,34.5,398.837"
"""SEP-2015"",156,8.5,34.5,398.469"
"""OCT-2015"",157,8.5,34.5,398.342"
"""NOV-2015"",158,8.5,34.5,399.229"
"""DEC-2015"",159,8.5,34.5,400.245"
"""JAN-2016"",160,8.5,34.5,400.7"
"""FEB-2016"",161,8.5,34.5,400.958"
"""MAR-2016"",162,8.5,34.5,402.671"
"""APR-2016"",163,8.5,34.5,402.577"
"""MAY-2016"",164,8.5,34.5,403.615"
"""JUN-2016"",165,8.5,34.5,403.887"
"""JUL-2016"",166,8.5,34.5,403.081"
"""AUG-2016"",167,8.5,34.5,402.158"
"""SEP-2016"",168,8.5,34.5,401.071"
"""OCT-2016"",169,8.5,34.5,401.613"
"""NOV-2016"",170,8.5,34.5,401.084"
"""DEC-2016"",171,8.5,34.5,401.405"
"""JAN-2017"",172,8.5,34.5,402.775"
"""FEB-2017"",173,8.5,34.5,403.781"
"""MAR-2017"",174,8.5,34.5,403.904"
"""APR-2017"",175,8.5,34.5,404.237"
"""MAY-2017"",176,8.5,34.5,404.743"
"""JUN-2017"",177,8.5,34.5,405.233"
"""JUL-2017"",178,8.5,34.5,404.337"
"""AUG-2017"",179,8.5,34.5,404.441"
"""SEP-2017"",180,8.5,34.5,402.554"
"""OCT-2017"",181,8.5,34.5,403.215"
"""NOV-2017"",182,8.5,34.5,403.089"
"""DEC-2017"",183,8.5,34.5,403.978"
"""JAN-2018"",184,8.5,34.5,404.378"
"""FEB-2018"",185,8.5,34.5,404.465"
"""MAR-2018"",186,8.5,34.5,406.155"
"""APR-2018"",187,8.5,34.5,406.862"
"""MAY-2018"",188,8.5,34.5,406.468"
"""JUN-2018"",189,8.5,34.5,406.516"
"""JUL-2018"",190,8.5,34.5,406.973"
"""AUG-2018"",191,8.5,34.5,405.159"
"""SEP-2018"",192,8.5,34.5,405.189"
"""OCT-2018"",193,8.5,34.5,404.411"
"""NOV-2018"",194,8.5,34.5,405.458"
"""DEC-2018"",195,8.5,34.5,406.96"
"""JAN-2019"",196,8.5,34.5,406.449"
"""FEB-2019"",197,8.5,34.5,407.61"
"""MAR-2019"",198,8.5,34.5,407.207"
"""APR-2019"",199,8.5,34.5,409.552"
"""MAY-2019"",200,8.5,34.5,408.356"
"""JUN-2019"",201,8.5,34.5,410.838"
"""JUL-2019"",202,8.5,34.5,408.843"
"""AUG-2019"",203,8.5,34.5,408.152"
"""SEP-2019"",204,8.5,34.5,407.888"
"""OCT-2019"",205,8.5,34.5,407.002"
"""NOV-2019"",206,8.5,34.5,408.159"
"""DEC-2019"",207,8.5,34.5,409.686"
"""JAN-2020"",208,8.5,34.5,409.904"
"""FEB-2020"",209,8.5,34.5,410.601"
"""MAR-2020"",210,8.5,34.5,409.262"
"""APR-2020"",211,8.5,34.5,410.761"
"""MAY-2020"",212,8.5,34.5,409.077"
"""JUN-2020"",213,8.5,34.5,411.135"
"""JUL-2020"",214,8.5,34.5,410.657"
"""AUG-2020"",215,8.5,34.5,410.497"
"""SEP-2020"",216,8.5,34.5,409.272"
"""OCT-2020"",217,8.5,34.5,409.782"
"""NOV-2020"",218,8.5,34.5,410.753"
"""DEC-2020"",219,8.5,34.5,411.312"
"""JAN-2021"",220,8.5,34.5,412.169"
"""FEB-2021"",221,8.5,34.5,410.748"
"""MAR-2021"",222,8.5,34.5,411.677"
"""APR-2021"",223,8.5,34.5,412.385"
"""MAY-2021"",224,8.5,34.5,413.398"
"""JUN-2021"",225,8.5,34.5,413.212"
"""JUL-2021"",226,8.5,34.5,414.222"
"""AUG-2021"",227,8.5,34.5,412.842"
"""SEP-2021"",228,8.5,34.5,411.805"
"""OCT-2021"",229,8.5,34.5,411.628"
"""NOV-2021"",230,8.5,34.5,412.036"
"""DEC-2021"",231,8.5,34.5,412.882"
"""JAN-2022"",232,8.5,34.5,413.235"
"""FEB-2022"",233,8.5,34.5,413.442"
"""MAR-2022"",234,8.5,34.5,413.673"
"""APR-2022"",235,8.5,34.5,413.592"
"""MAY-2022"",236,8.5,34.5,415.28"
"""JUN-2022"",237,8.5,34.5,416.191"
"""JUL-2022"",238,8.5,34.5,415.666"
"""AUG-2022"",239,8.5,34.5,414.993"
"""SEP-2022"",240,8.5,34.5,412.946"
"""OCT-2022"",241,8.5,34.5,413.544"
"""NOV-2022"",242,8.5,34.5,414.618"
"""DEC-2022"",243,8.5,34.5,414.649"
"""JAN-2023"",244,8.5,34.5,415.594"
"""FEB-2023"",245,8.5,34.5,414.531"
"""MAR-2023"",246,8.5,34.5,416.016"
"""APR-2023"",247,8.5,34.5,416.849"
"""MAY-2023"",248,8.5,34.5,415.216"
"""JUN-2023"",249,8.5,34.5,417.573"
"""JUL-2023"",250,8.5,34.5,417.67"
"""AUG-2023"",251,8.5,34.5,416.786"
