"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""DEC-2014"",16405,10.25,36.75,389.458"
"""JAN-2015"",16436,10.25,36.75,408.014"
"""FEB-2015"",16467,10.25,36.75,440.415"
"""MAR-2015"",16495,10.25,36.75,449.441"
"""APR-2015"",16526,10.25,36.75,423.625"
"""MAY-2015"",16556,10.25,36.75,414.039"
"""JUN-2015"",16587,10.25,36.75,415.738"
"""JUL-2015"",16617,10.25,36.75,385.137"
"""AUG-2015"",16648,10.25,36.75,385.675"
"""SEP-2015"",16679,10.25,36.75,371.306"
"""OCT-2015"",16709,10.25,36.75,361.283"
"""NOV-2015"",16740,10.25,36.75,352.926"
"""DEC-2015"",16770,10.25,36.75,356.826"
"""JAN-2016"",16801,10.25,36.75,382.778"
"""FEB-2016"",16832,10.25,36.75,386.713"
"""MAR-2016"",16861,10.25,36.75,448.66"
"""APR-2016"",16892,10.25,36.75,408.521"
"""MAY-2016"",16922,10.25,36.75,417.441"
"""JUN-2016"",16953,10.25,36.75,406.337"
"""JUL-2016"",16983,10.25,36.75,378.108"
"""AUG-2016"",17014,10.25,36.75,380.786"
"""SEP-2016"",17045,10.25,36.75,370.576"
"""OCT-2016"",17075,10.25,36.75,339.613"
"""NOV-2016"",17106,10.25,36.75,359.653"
"""DEC-2016"",17136,10.25,36.75,378.728"
"""JAN-2017"",17167,10.25,36.75,409.724"
"""FEB-2017"",17198,10.25,36.75,425.031"
"""MAR-2017"",17226,10.25,36.75,403.961"
"""APR-2017"",17257,10.25,36.75,448.013"
"""MAY-2017"",17287,10.25,36.75,411.289"
"""JUN-2017"",17318,10.25,36.75,398.406"
"""JUL-2017"",17348,10.25,36.75,383.554"
"""AUG-2017"",17379,10.25,36.75,369.929"
"""SEP-2017"",17410,10.25,36.75,365.819"
"""OCT-2017"",17440,10.25,36.75,358.544"
"""NOV-2017"",17471,10.25,36.75,380.583"
"""DEC-2017"",17501,10.25,36.75,386.434"
"""JAN-2018"",17532,10.25,36.75,396.91"
"""FEB-2018"",17563,10.25,36.75,444.625"
"""MAR-2018"",17591,10.25,36.75,457.729"
"""APR-2018"",17622,10.25,36.75,432.84"
"""MAY-2018"",17652,10.25,36.75,422.148"
"""JUN-2018"",17683,10.25,36.75,409.54"
"""JUL-2018"",17713,10.25,36.75,378.125"
"""AUG-2018"",17744,10.25,36.75,384.966"
"""SEP-2018"",17775,10.25,36.75,367.312"
"""OCT-2018"",17805,10.25,36.75,353.667"
"""NOV-2018"",17836,10.25,36.75,344.097"
