date,min,mean,max,std,median
2021-06-01T00:00:00,505369944129536,1041830284392124.9,2539709188276224,348292133445035.75,1024668869853184
2021-07-01T00:00:00,624393554231296,1135638660934548,2764389664948224,339285178746117.6,1145785336987648
2021-08-01T00:00:00,601267839696896,1027766337218661.8,2687019587207168,329134033949728.25,989990498598912
2021-09-01T00:00:00,382551294214144,792853928503412,1793266823462912,251455379354161.5,772363364859904
2021-10-01T00:00:00,298052678057984,750768611158817.8,2050056072986624,292085293799169.06,706445280542720
2021-11-01T00:00:00,-70872714969088,806436120391405,2942767441379328,440851963701308,739825699258368
2021-12-01T00:00:00,-47521153941504,651141306579335,2814350603583488,356977962829680.56,606443073961984
2022-01-01T00:00:00,46872370610176,629825327721449.6,1952822845243392,320415337493485.56,566838777872384
2022-02-01T00:00:00,-199027123552256,627795496970084.6,2020421738168320,311708922544968.44,584669200384000
2022-03-01T00:00:00,148981510307840,724970828310772.6,2109508218257408,307488129762137.2,689148776153088
2022-04-01T00:00:00,43317572141056,812755975669083.2,1566173246259200,247987475534927.4,828958484463616
2022-05-01T00:00:00,606187724734464,1139324349487159.2,2582569740664832,309092201968589.94,1153374275764224
2022-06-01T00:00:00,408730025852928,1010200632437294.9,2341707169398784,277545301329994.25,1027370270064640
2022-07-01T00:00:00,404776844001280,1113967761256973,2344247374118912,313608729820291,1139714937585664
2022-08-01T00:00:00,390647408230400,972131480222187,2095715736092672,276303991420794.84,976657443717120
2022-09-01T00:00:00,214217701457920,761388496326902.4,1798250461921280,244699553339454.2,760077476691968
2022-10-01T00:00:00,289958141100032,851536167770767.2,2283258033209344,306476467309207.4,834494697308160
2022-11-01T00:00:00,64107378114560,664138813747653.5,2171641362644992,321053107987951.6,624953175048192
2022-12-01T00:00:00,39575372169216,610665235220031.9,2199623343013888,283979449156587.44,580964052893696
