date,min,mean,max,std,median
2020-01-01T00:00:00,479.6028137207031,1253.9873949579833,10229.8994140625,1129.9655569472463,794.0477294921875
2020-02-01T00:00:00,524.3653564453125,1292.3364985163205,11523.5107421875,1302.6528294920201,763.0784301757812
2020-03-01T00:00:00,487.92120361328125,1310.0196493349456,10567.150390625,1329.5283998305138,775.3267822265625
2020-04-01T00:00:00,421.85418701171875,1542.0640672782874,12800.677734375,1689.4585122301266,821.8185424804688
2020-05-01T00:00:00,459.70941162109375,1655.1641291108403,13299.703125,1967.8934596553154,726.1055297851562
2020-06-01T00:00:00,467.213623046875,1922.1085749537322,20854.251953125,2539.92767667493,777.35791015625
2020-07-01T00:00:00,312.8210144042969,1468.4542211652795,15633.1494140625,1925.7801881188666,524.029541015625
2020-08-01T00:00:00,263.8988952636719,1476.857687614399,13658.927734375,1921.4133143547251,496.487548828125
2020-09-01T00:00:00,295.1010437011719,1434.7010479041917,10855.583984375,1492.6917308665895,825.9672241210938
2020-10-01T00:00:00,388.6357116699219,1687.9869358669835,10555.03515625,1659.2941827793318,953.1749267578125
2020-11-01T00:00:00,389.64019775390625,1819.52561048243,12994.005859375,2020.0122875882082,917.7860107421875
2020-12-01T00:00:00,446.4015197753906,1591.959739490823,15908.6796875,1586.71772875882,1026.4849853515625
