date,min,mean,max,std,median
2020-01-01T00:00:00,3,2.994761813607526,3,0.1037047871689772,3
2020-02-01T00:00:00,3,3.9872357563283836,4,0.1566047318602918,4
2020-03-01T00:00:00,4,3.9932979726090636,4,0.13449880494616348,4
2020-04-01T00:00:00,3,3.4706869854581828,5,0.8563578246734891,3
2020-05-01T00:00:00,3,3.4706869854581828,5,0.8563578246734891,3
2020-06-01T00:00:00,3,3.4646247691775023,5,0.8564152278703846,3
2020-07-01T00:00:00,3,3.4639900822447993,5,0.8590401817052337,3
2020-08-01T00:00:00,1,0.9979232432268988,1,0.03808790151747447,1
2020-09-01T00:00:00,1,0.9979232432268988,1,0.03808790151747447,1
2020-10-01T00:00:00,3,2.999822206095791,4,0.136469143377354,3
2020-11-01T00:00:00,4,3.99185969752264,4,0.15122047011646764,4
2021-01-01T00:00:00,3,3.246227179034158,4,0.4516455872858397,3
2021-02-01T00:00:00,3,3.017685645117689,4,0.1837956120627897,3
2021-03-01T00:00:00,3,3.017685645117689,4,0.1837956120627897,3
2021-04-01T00:00:00,3,3.017685645117689,4,0.1837956120627897,3
2021-05-01T00:00:00,3,3.5205364556179886,5,0.5468018371364969,4
2021-06-01T00:00:00,3,4.01266660619255,5,1.0096073423812735,5
2021-07-01T00:00:00,3,4.000561199806483,5,1.0102793410416064,5
2021-08-01T00:00:00,,,,,
2021-09-01T00:00:00,1,0.99796492438066,1,0.03780511752911691,1
2021-10-01T00:00:00,3,2.999860008882195,4,0.13537132288041628,3
2021-11-01T00:00:00,3,2.999860008882195,4,0.13537132288041628,3
2022-01-01T00:00:00,3,3.025536612504586,4,0.19980925217609805,3
2022-02-01T00:00:00,3,3.510561786769391,4,0.5147115424256304,4
2022-03-01T00:00:00,3,3.510561786769391,4,0.5147115424256304,4
2022-04-01T00:00:00,3,3.510561786769391,4,0.5147115424256304,4
2022-05-01T00:00:00,3,4.0055622332927845,5,1.0069122296809778,5
2022-06-01T00:00:00,3,4.0055622332927845,5,1.0069122296809778,5
2022-07-01T00:00:00,3,3.999597525536311,5,1.0101523948994118,5
2022-08-01T00:00:00,,,,,
2022-09-01T00:00:00,1,0.99796492438066,1,0.03780511752911691,1
2022-10-01T00:00:00,3,2.993895301125722,3,0.11341535261544461,3
2022-11-01T00:00:00,4,3.99185969752264,4,0.15122047011646764,4
