YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,3,1,4.3,4.57,0.59,335.6,86.6,-999.0,-999.0,-999.0,-999.0,1.43
1990,3,2,4.33,4.99,0.59,330.9,84.6,-999.0,-999.0,-999.0,-999.0,2.43
1990,3,3,3.26,5.19,0.44,334.2,66.1,-999.0,-999.0,-999.0,-999.0,4.56
1990,3,4,0.89,5.22,0.12,349.9,20.4,-999.0,-999.0,-999.0,-999.0,3.81
1990,3,5,4.0,5.53,0.53,345.6,80.2,-999.0,-999.0,-999.0,-999.0,1.92
1990,3,6,2.62,5.31,0.34,343.9,54.1,-999.0,-999.0,-999.0,-999.0,1.27
1990,3,7,4.58,5.1,0.59,319.3,90.2,-999.0,-999.0,-999.0,-999.0,1.4
1990,3,8,4.6,5.35,0.59,311.3,90.3,-999.0,-999.0,-999.0,-999.0,2.73
1990,3,9,3.63,5.46,0.46,340.0,72.8,-999.0,-999.0,-999.0,-999.0,2.59
1990,3,10,3.8,4.91,0.48,328.9,76.1,-999.0,-999.0,-999.0,-999.0,4.46
1990,3,11,4.88,4.98,0.62,310.3,95.4,-999.0,-999.0,-999.0,-999.0,1.69
1990,3,12,4.56,5.01,0.57,340.9,88.8,-999.0,-999.0,-999.0,-999.0,1.55
1990,3,13,4.9,5.55,0.61,343.1,96.7,-999.0,-999.0,-999.0,-999.0,2.75
1990,3,14,4.83,5.4,0.59,349.7,95.5,-999.0,-999.0,-999.0,-999.0,1.54
1990,3,15,4.3,5.7,0.52,352.3,86.1,-999.0,-999.0,-999.0,-999.0,1.1
1990,3,16,3.58,5.42,0.43,347.9,72.8,-999.0,-999.0,-999.0,-999.0,2.05
1990,3,17,3.23,6.06,0.39,358.0,66.8,-999.0,-999.0,-999.0,-999.0,2.65
1990,3,18,3.6,6.12,0.43,352.4,73.7,-999.0,-999.0,-999.0,-999.0,2.38
1990,3,19,5.23,5.88,0.62,319.0,101.7,-999.0,-999.0,-999.0,-999.0,1.71
1990,3,20,4.8,5.98,0.56,333.8,94.1,-999.0,-999.0,-999.0,-999.0,2.76
1990,3,21,5.94,6.34,0.7,301.4,114.0,-999.0,-999.0,-999.0,-999.0,3.29
1990,3,22,5.51,5.5,0.64,308.6,104.6,-999.0,-999.0,-999.0,-999.0,1.28
1990,3,23,5.94,5.97,0.69,326.9,111.2,-999.0,-999.0,-999.0,-999.0,0.84
1990,3,24,5.48,5.64,0.62,356.1,106.5,-999.0,-999.0,-999.0,-999.0,1.26
1990,3,25,3.68,6.26,0.42,360.2,74.2,-999.0,-999.0,-999.0,-999.0,2.01
1990,3,26,5.51,5.93,0.62,348.5,108.1,-999.0,-999.0,-999.0,-999.0,2.98
1990,3,27,5.32,6.59,0.59,343.7,105.1,-999.0,-999.0,-999.0,-999.0,2.73
1990,3,28,5.61,6.06,0.62,323.7,109.8,-999.0,-999.0,-999.0,-999.0,1.49
1990,3,29,5.1,6.42,0.56,343.3,100.7,-999.0,-999.0,-999.0,-999.0,1.12
1990,3,30,2.77,6.55,0.3,352.2,58.0,-999.0,-999.0,-999.0,-999.0,1.78
1990,3,31,2.69,6.61,0.3,352.3,56.5,-999.0,-999.0,-999.0,-999.0,2.28
1990,4,1,4.89,6.64,0.53,362.7,98.3,-999.0,-999.0,-999.0,-999.0,2.79
1990,4,2,3.97,6.47,0.43,352.5,80.4,-999.0,-999.0,-999.0,-999.0,1.61
1990,4,3,5.77,6.86,0.62,354.5,113.5,-999.0,-999.0,-999.0,-999.0,1.45
1990,4,4,6.46,6.5,0.69,318.0,123.2,-999.0,-999.0,-999.0,-999.0,1.66
1990,4,5,5.59,6.34,0.59,335.8,108.8,-999.0,-999.0,-999.0,-999.0,2.99
1990,4,6,5.95,5.89,0.62,359.6,116.0,-999.0,-999.0,-999.0,-999.0,3.23
1990,4,7,5.37,6.28,0.56,360.2,107.0,-999.0,-999.0,-999.0,-999.0,2.52
1990,4,8,2.79,6.89,0.29,364.0,58.9,-999.0,-999.0,-999.0,-999.0,3.34
